epoch,train_loss,val_loss,train_reg,val_reg,train_edge,val_edge,train_tv,val_tv,lr
26,0.017401,0.011014,0.015605,0.010633,0.008981,0.001901,0.003266,0.003148,8.43850817e-05
27,0.018154,0.010973,0.016591,0.010497,0.007818,0.002376,0.002950,0.003089,8.32349373e-05
28,0.017177,0.010999,0.015596,0.010565,0.007904,0.002170,0.003598,0.003869,8.20524875e-05
29,0.017687,0.010875,0.015715,0.010418,0.009862,0.002285,0.003385,0.003382,8.08388992e-05
30,0.017392,0.010789,0.015933,0.010126,0.007295,0.003315,0.003272,0.003654,7.95953700e-05
31,0.017670,0.010880,0.015717,0.010443,0.009764,0.002183,0.003546,0.003329,7.83231272e-05
32,0.017491,0.010901,0.015668,0.010375,0.009114,0.002632,0.003097,0.003016,7.70234264e-05
33,0.017313,0.010740,0.015994,0.010204,0.006599,0.002678,0.003314,0.003729,7.56975501e-05
34,0.016956,0.010794,0.015436,0.010197,0.007600,0.002982,0.003736,0.004217,7.43468069e-05
35,0.018727,0.010723,0.016162,0.009634,0.012827,0.005445,0.003516,0.003161,7.29725297e-05
36,0.017642,0.010685,0.015981,0.009943,0.008305,0.003710,0.003190,0.003331,7.15760749e-05
37,0.017512,0.010707,0.015530,0.010149,0.009908,0.002790,0.003388,0.003582,7.01588206e-05
38,0.017310,0.010616,0.015881,0.009840,0.007143,0.003879,0.003299,0.003864,6.87221654e-05
39,0.018057,0.010783,0.015692,0.010260,0.011820,0.002614,0.003896,0.004096,6.72675271e-05
40,0.017989,0.010706,0.015975,0.010069,0.010073,0.003184,0.003137,0.003194,6.57963412e-05
41,0.018186,0.010808,0.016153,0.010408,0.010165,0.002000,0.003353,0.003614,6.43100597e-05
42,0.016540,0.010695,0.014958,0.010219,0.007910,0.002378,0.003675,0.003854,6.28101494e-05
43,0.017664,0.010601,0.015679,0.009827,0.009922,0.003868,0.003703,0.003414,6.12980904e-05
44,0.017271,0.010525,0.015719,0.009707,0.007762,0.004093,0.003567,0.003950,5.97753751e-05
